sample_id,participant_id,file_path,duration_seconds
300_audio_300_AUDIO,300,D:\ieee-final-dep\datasets\raw\daic_woz\300_P\300_AUDIO.wav,
301_audio_301_AUDIO,301,D:\ieee-final-dep\datasets\raw\daic_woz\301_P\301_AUDIO.wav,
302_audio_302_AUDIO,302,D:\ieee-final-dep\datasets\raw\daic_woz\302_P\302_AUDIO.wav,
303_audio_303_AUDIO,303,D:\ieee-final-dep\datasets\raw\daic_woz\303_P\303_AUDIO.wav,
305_audio_305_AUDIO,305,D:\ieee-final-dep\datasets\raw\daic_woz\305_P\305_AUDIO.wav,
306_audio_306_AUDIO,306,D:\ieee-final-dep\datasets\raw\daic_woz\306_P\306_AUDIO.wav,
307_audio_307_AUDIO,307,D:\ieee-final-dep\datasets\raw\daic_woz\307_P\307_AUDIO.wav,
308_audio_308_AUDIO,308,D:\ieee-final-dep\datasets\raw\daic_woz\308_P\308_AUDIO.wav,
309_audio_309_AUDIO,309,D:\ieee-final-dep\datasets\raw\daic_woz\309_P\309_AUDIO.wav,
310_audio_310_AUDIO,310,D:\ieee-final-dep\datasets\raw\daic_woz\310_P\310_AUDIO.wav,
311_audio_311_AUDIO,311,D:\ieee-final-dep\datasets\raw\daic_woz\311_P\311_AUDIO.wav,
312_audio_312_AUDIO,312,D:\ieee-final-dep\datasets\raw\daic_woz\312_P\312_AUDIO.wav,
313_audio_313_AUDIO,313,D:\ieee-final-dep\datasets\raw\daic_woz\313_P\313_AUDIO.wav,
314_audio_314_AUDIO,314,D:\ieee-final-dep\datasets\raw\daic_woz\314_P\314_AUDIO.wav,
315_audio_315_AUDIO,315,D:\ieee-final-dep\datasets\raw\daic_woz\315_P\315_AUDIO.wav,
316_audio_316_AUDIO,316,D:\ieee-final-dep\datasets\raw\daic_woz\316_P\316_AUDIO.wav,
317_audio_317_AUDIO,317,D:\ieee-final-dep\datasets\raw\daic_woz\317_P\317_AUDIO.wav,
318_audio_318_AUDIO,318,D:\ieee-final-dep\datasets\raw\daic_woz\318_P\318_AUDIO.wav,
319_audio_319_AUDIO,319,D:\ieee-final-dep\datasets\raw\daic_woz\319_P\319_AUDIO.wav,
320_audio_320_AUDIO,320,D:\ieee-final-dep\datasets\raw\daic_woz\320_P\320_AUDIO.wav,
321_audio_321_AUDIO,321,D:\ieee-final-dep\datasets\raw\daic_woz\321_P\321_AUDIO.wav,
322_audio_322_AUDIO,322,D:\ieee-final-dep\datasets\raw\daic_woz\322_P\322_AUDIO.wav,
323_audio_323_AUDIO,323,D:\ieee-final-dep\datasets\raw\daic_woz\323_P\323_AUDIO.wav,
324_audio_324_AUDIO,324,D:\ieee-final-dep\datasets\raw\daic_woz\324_P\324_AUDIO.wav,
325_audio_325_AUDIO,325,D:\ieee-final-dep\datasets\raw\daic_woz\325_P\325_AUDIO.wav,
326_audio_326_AUDIO,326,D:\ieee-final-dep\datasets\raw\daic_woz\326_P\326_AUDIO.wav,
327_audio_327_AUDIO,327,D:\ieee-final-dep\datasets\raw\daic_woz\327_P\327_AUDIO.wav,
328_audio_328_AUDIO,328,D:\ieee-final-dep\datasets\raw\daic_woz\328_P\328_AUDIO.wav,
329_audio_329_AUDIO,329,D:\ieee-final-dep\datasets\raw\daic_woz\329_P\329_AUDIO.wav,
330_audio_330_AUDIO,330,D:\ieee-final-dep\datasets\raw\daic_woz\330_P\330_AUDIO.wav,
331_audio_331_AUDIO,331,D:\ieee-final-dep\datasets\raw\daic_woz\331_P\331_AUDIO.wav,
332_audio_332_AUDIO,332,D:\ieee-final-dep\datasets\raw\daic_woz\332_P\332_AUDIO.wav,
333_audio_333_AUDIO,333,D:\ieee-final-dep\datasets\raw\daic_woz\333_P\333_AUDIO.wav,
334_audio_334_AUDIO,334,D:\ieee-final-dep\datasets\raw\daic_woz\334_P\334_AUDIO.wav,
335_audio_335_AUDIO,335,D:\ieee-final-dep\datasets\raw\daic_woz\335_P\335_AUDIO.wav,
336_audio_336_AUDIO,336,D:\ieee-final-dep\datasets\raw\daic_woz\336_P\336_AUDIO.wav,
337_audio_337_AUDIO,337,D:\ieee-final-dep\datasets\raw\daic_woz\337_P\337_AUDIO.wav,
338_audio_338_AUDIO,338,D:\ieee-final-dep\datasets\raw\daic_woz\338_P\338_AUDIO.wav,
339_audio_339_AUDIO,339,D:\ieee-final-dep\datasets\raw\daic_woz\339_P\339_AUDIO.wav,
340_audio_340_AUDIO,340,D:\ieee-final-dep\datasets\raw\daic_woz\340_P\340_AUDIO.wav,
341_audio_341_AUDIO,341,D:\ieee-final-dep\datasets\raw\daic_woz\341_P\341_AUDIO.wav,
343_audio_343_AUDIO,343,D:\ieee-final-dep\datasets\raw\daic_woz\343_P\343_AUDIO.wav,
344_audio_344_AUDIO,344,D:\ieee-final-dep\datasets\raw\daic_woz\344_P\344_AUDIO.wav,
345_audio_345_AUDIO,345,D:\ieee-final-dep\datasets\raw\daic_woz\345_P\345_AUDIO.wav,
346_audio_346_AUDIO,346,D:\ieee-final-dep\datasets\raw\daic_woz\346_P\346_AUDIO.wav,
347_audio_347_AUDIO,347,D:\ieee-final-dep\datasets\raw\daic_woz\347_P\347_AUDIO.wav,
348_audio_348_AUDIO,348,D:\ieee-final-dep\datasets\raw\daic_woz\348_P\348_AUDIO.wav,
349_audio_349_AUDIO,349,D:\ieee-final-dep\datasets\raw\daic_woz\349_P\349_AUDIO.wav,
350_audio_350_AUDIO,350,D:\ieee-final-dep\datasets\raw\daic_woz\350_P\350_AUDIO.wav,
351_audio_351_AUDIO,351,D:\ieee-final-dep\datasets\raw\daic_woz\351_P\351_AUDIO.wav,
352_audio_352_AUDIO,352,D:\ieee-final-dep\datasets\raw\daic_woz\352_P\352_AUDIO.wav,
353_audio_353_AUDIO,353,D:\ieee-final-dep\datasets\raw\daic_woz\353_P\353_AUDIO.wav,
354_audio_354_AUDIO,354,D:\ieee-final-dep\datasets\raw\daic_woz\354_P\354_AUDIO.wav,
