sample_id,overall,audio,video,transcript,synchronization,missing_value,corruption,confidence
300_audio_300_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
300_text_300_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
301_audio_301_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
301_text_301_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
302_audio_302_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
302_text_302_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
303_audio_303_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
303_text_303_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
305_audio_305_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
305_text_305_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
306_audio_306_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
306_text_306_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
307_audio_307_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
307_text_307_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
308_audio_308_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
308_text_308_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
309_audio_309_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
309_text_309_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
310_audio_310_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
310_text_310_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
311_audio_311_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
311_text_311_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
312_audio_312_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
312_text_312_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
313_audio_313_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
313_text_313_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
314_audio_314_AUDIO,0.825,1.0,,,1.0,1.0,1.0,0.3
314_text_314_TRANSCRIPT,0.825,,,1.0,1.0,1.0,1.0,0.3
315_audio_315_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
315_text_315_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
316_audio_316_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
316_text_316_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
317_audio_317_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
317_text_317_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
318_audio_318_AUDIO,1.0,1.0,,,1.0,1.0,1.0,1.0
318_text_318_TRANSCRIPT,1.0,,,1.0,1.0,1.0,1.0,1.0
