participant_id,split,dataset
0,train,daic_woz
1,test,daic_woz
10,train,daic_woz
100,test,daic_woz
101,train,daic_woz
102,train,daic_woz
103,train,daic_woz
104,test,daic_woz
105,train,daic_woz
106,test,daic_woz
107,train,daic_woz
108,train,daic_woz
109,train,daic_woz
11,train,daic_woz
110,train,daic_woz
111,train,daic_woz
112,test,daic_woz
113,train,daic_woz
114,dev,daic_woz
115,test,daic_woz
116,train,daic_woz
117,train,daic_woz
118,train,daic_woz
119,dev,daic_woz
12,train,daic_woz
120,train,daic_woz
121,train,daic_woz
122,train,daic_woz
123,train,daic_woz
124,test,daic_woz
125,train,daic_woz
126,train,daic_woz
127,test,daic_woz
128,train,daic_woz
129,dev,daic_woz
13,train,daic_woz
130,train,daic_woz
131,train,daic_woz
132,dev,daic_woz
133,train,daic_woz
134,train,daic_woz
135,dev,daic_woz
136,test,daic_woz
137,train,daic_woz
138,train,daic_woz
139,train,daic_woz
14,test,daic_woz
140,test,daic_woz
141,test,daic_woz
142,test,daic_woz
143,train,daic_woz
144,train,daic_woz
145,test,daic_woz
146,test,daic_woz
147,train,daic_woz
148,test,daic_woz
149,train,daic_woz
15,test,daic_woz
150,test,daic_woz
151,test,daic_woz
152,test,daic_woz
153,train,daic_woz
154,train,daic_woz
155,train,daic_woz
156,train,daic_woz
157,dev,daic_woz
158,train,daic_woz
159,train,daic_woz
16,train,daic_woz
160,train,daic_woz
161,train,daic_woz
162,test,daic_woz
163,train,daic_woz
164,test,daic_woz
165,train,daic_woz
166,train,daic_woz
167,test,daic_woz
168,train,daic_woz
169,train,daic_woz
17,train,daic_woz
170,test,daic_woz
171,train,daic_woz
172,dev,daic_woz
173,dev,daic_woz
174,train,daic_woz
175,test,daic_woz
176,train,daic_woz
177,dev,daic_woz
178,train,daic_woz
179,train,daic_woz
18,test,daic_woz
180,train,daic_woz
181,test,daic_woz
182,train,daic_woz
183,train,daic_woz
184,test,daic_woz
185,train,daic_woz
186,train,daic_woz
187,train,daic_woz
188,test,daic_woz
189,train,daic_woz
19,test,daic_woz
190,train,daic_woz
191,train,daic_woz
192,dev,daic_woz
193,train,daic_woz
194,train,daic_woz
195,train,daic_woz
196,train,daic_woz
197,test,daic_woz
198,train,daic_woz
199,test,daic_woz
2,train,daic_woz
20,test,daic_woz
200,test,daic_woz
201,dev,daic_woz
202,train,daic_woz
203,train,daic_woz
204,train,daic_woz
205,train,daic_woz
206,train,daic_woz
207,train,daic_woz
208,train,daic_woz
209,test,daic_woz
21,train,daic_woz
