sample_id,participant_id,file_path,duration_seconds
300_text_300_TRANSCRIPT,300,D:\ieee-final-dep\datasets\raw\daic_woz\300_P\300_TRANSCRIPT.csv,
301_text_301_TRANSCRIPT,301,D:\ieee-final-dep\datasets\raw\daic_woz\301_P\301_TRANSCRIPT.csv,
302_text_302_TRANSCRIPT,302,D:\ieee-final-dep\datasets\raw\daic_woz\302_P\302_TRANSCRIPT.csv,
303_text_303_TRANSCRIPT,303,D:\ieee-final-dep\datasets\raw\daic_woz\303_P\303_TRANSCRIPT.csv,
305_text_305_TRANSCRIPT,305,D:\ieee-final-dep\datasets\raw\daic_woz\305_P\305_TRANSCRIPT.csv,
306_text_306_TRANSCRIPT,306,D:\ieee-final-dep\datasets\raw\daic_woz\306_P\306_TRANSCRIPT.csv,
307_text_307_TRANSCRIPT,307,D:\ieee-final-dep\datasets\raw\daic_woz\307_P\307_TRANSCRIPT.csv,
308_text_308_TRANSCRIPT,308,D:\ieee-final-dep\datasets\raw\daic_woz\308_P\308_TRANSCRIPT.csv,
309_text_309_TRANSCRIPT,309,D:\ieee-final-dep\datasets\raw\daic_woz\309_P\309_TRANSCRIPT.csv,
310_text_310_TRANSCRIPT,310,D:\ieee-final-dep\datasets\raw\daic_woz\310_P\310_TRANSCRIPT.csv,
311_text_311_TRANSCRIPT,311,D:\ieee-final-dep\datasets\raw\daic_woz\311_P\311_TRANSCRIPT.csv,
312_text_312_TRANSCRIPT,312,D:\ieee-final-dep\datasets\raw\daic_woz\312_P\312_TRANSCRIPT.csv,
313_text_313_TRANSCRIPT,313,D:\ieee-final-dep\datasets\raw\daic_woz\313_P\313_TRANSCRIPT.csv,
314_text_314_TRANSCRIPT,314,D:\ieee-final-dep\datasets\raw\daic_woz\314_P\314_TRANSCRIPT.csv,
315_text_315_TRANSCRIPT,315,D:\ieee-final-dep\datasets\raw\daic_woz\315_P\315_TRANSCRIPT.csv,
316_text_316_TRANSCRIPT,316,D:\ieee-final-dep\datasets\raw\daic_woz\316_P\316_TRANSCRIPT.csv,
317_text_317_TRANSCRIPT,317,D:\ieee-final-dep\datasets\raw\daic_woz\317_P\317_TRANSCRIPT.csv,
318_text_318_TRANSCRIPT,318,D:\ieee-final-dep\datasets\raw\daic_woz\318_P\318_TRANSCRIPT.csv,
319_text_319_TRANSCRIPT,319,D:\ieee-final-dep\datasets\raw\daic_woz\319_P\319_TRANSCRIPT.csv,
320_text_320_TRANSCRIPT,320,D:\ieee-final-dep\datasets\raw\daic_woz\320_P\320_TRANSCRIPT.csv,
321_text_321_TRANSCRIPT,321,D:\ieee-final-dep\datasets\raw\daic_woz\321_P\321_TRANSCRIPT.csv,
322_text_322_TRANSCRIPT,322,D:\ieee-final-dep\datasets\raw\daic_woz\322_P\322_TRANSCRIPT.csv,
323_text_323_TRANSCRIPT,323,D:\ieee-final-dep\datasets\raw\daic_woz\323_P\323_TRANSCRIPT.csv,
324_text_324_TRANSCRIPT,324,D:\ieee-final-dep\datasets\raw\daic_woz\324_P\324_TRANSCRIPT.csv,
325_text_325_TRANSCRIPT,325,D:\ieee-final-dep\datasets\raw\daic_woz\325_P\325_TRANSCRIPT.csv,
326_text_326_TRANSCRIPT,326,D:\ieee-final-dep\datasets\raw\daic_woz\326_P\326_TRANSCRIPT.csv,
327_text_327_TRANSCRIPT,327,D:\ieee-final-dep\datasets\raw\daic_woz\327_P\327_TRANSCRIPT.csv,
328_text_328_TRANSCRIPT,328,D:\ieee-final-dep\datasets\raw\daic_woz\328_P\328_TRANSCRIPT.csv,
329_text_329_TRANSCRIPT,329,D:\ieee-final-dep\datasets\raw\daic_woz\329_P\329_TRANSCRIPT.csv,
330_text_330_TRANSCRIPT,330,D:\ieee-final-dep\datasets\raw\daic_woz\330_P\330_TRANSCRIPT.csv,
331_text_331_TRANSCRIPT,331,D:\ieee-final-dep\datasets\raw\daic_woz\331_P\331_TRANSCRIPT.csv,
332_text_332_TRANSCRIPT,332,D:\ieee-final-dep\datasets\raw\daic_woz\332_P\332_TRANSCRIPT.csv,
333_text_333_TRANSCRIPT,333,D:\ieee-final-dep\datasets\raw\daic_woz\333_P\333_TRANSCRIPT.csv,
334_text_334_TRANSCRIPT,334,D:\ieee-final-dep\datasets\raw\daic_woz\334_P\334_TRANSCRIPT.csv,
335_text_335_TRANSCRIPT,335,D:\ieee-final-dep\datasets\raw\daic_woz\335_P\335_TRANSCRIPT.csv,
336_text_336_TRANSCRIPT,336,D:\ieee-final-dep\datasets\raw\daic_woz\336_P\336_TRANSCRIPT.csv,
337_text_337_TRANSCRIPT,337,D:\ieee-final-dep\datasets\raw\daic_woz\337_P\337_TRANSCRIPT.csv,
338_text_338_TRANSCRIPT,338,D:\ieee-final-dep\datasets\raw\daic_woz\338_P\338_TRANSCRIPT.csv,
339_text_339_TRANSCRIPT,339,D:\ieee-final-dep\datasets\raw\daic_woz\339_P\339_TRANSCRIPT.csv,
340_text_340_TRANSCRIPT,340,D:\ieee-final-dep\datasets\raw\daic_woz\340_P\340_TRANSCRIPT.csv,
341_text_341_TRANSCRIPT,341,D:\ieee-final-dep\datasets\raw\daic_woz\341_P\341_TRANSCRIPT.csv,
343_text_343_TRANSCRIPT,343,D:\ieee-final-dep\datasets\raw\daic_woz\343_P\343_TRANSCRIPT.csv,
344_text_344_TRANSCRIPT,344,D:\ieee-final-dep\datasets\raw\daic_woz\344_P\344_TRANSCRIPT.csv,
345_text_345_TRANSCRIPT,345,D:\ieee-final-dep\datasets\raw\daic_woz\345_P\345_TRANSCRIPT.csv,
346_text_346_TRANSCRIPT,346,D:\ieee-final-dep\datasets\raw\daic_woz\346_P\346_TRANSCRIPT.csv,
347_text_347_TRANSCRIPT,347,D:\ieee-final-dep\datasets\raw\daic_woz\347_P\347_TRANSCRIPT.csv,
348_text_348_TRANSCRIPT,348,D:\ieee-final-dep\datasets\raw\daic_woz\348_P\348_TRANSCRIPT.csv,
349_text_349_TRANSCRIPT,349,D:\ieee-final-dep\datasets\raw\daic_woz\349_P\349_TRANSCRIPT.csv,
350_text_350_TRANSCRIPT,350,D:\ieee-final-dep\datasets\raw\daic_woz\350_P\350_TRANSCRIPT.csv,
351_text_351_TRANSCRIPT,351,D:\ieee-final-dep\datasets\raw\daic_woz\351_P\351_TRANSCRIPT.csv,
352_text_352_TRANSCRIPT,352,D:\ieee-final-dep\datasets\raw\daic_woz\352_P\352_TRANSCRIPT.csv,
353_text_353_TRANSCRIPT,353,D:\ieee-final-dep\datasets\raw\daic_woz\353_P\353_TRANSCRIPT.csv,
354_text_354_TRANSCRIPT,354,D:\ieee-final-dep\datasets\raw\daic_woz\354_P\354_TRANSCRIPT.csv,
355_text_355_TRANSCRIPT,355,D:\ieee-final-dep\datasets\raw\daic_woz\355_P\355_TRANSCRIPT.csv,
356_text_356_TRANSCRIPT,356,D:\ieee-final-dep\datasets\raw\daic_woz\356_P\356_TRANSCRIPT.csv,
357_text_357_TRANSCRIPT,357,D:\ieee-final-dep\datasets\raw\daic_woz\357_P\357_TRANSCRIPT.csv,
358_text_358_TRANSCRIPT,358,D:\ieee-final-dep\datasets\raw\daic_woz\358_P\358_TRANSCRIPT.csv,
359_text_359_TRANSCRIPT,359,D:\ieee-final-dep\datasets\raw\daic_woz\359_P\359_TRANSCRIPT.csv,
360_text_360_TRANSCRIPT,360,D:\ieee-final-dep\datasets\raw\daic_woz\360_P\360_TRANSCRIPT.csv,
361_text_361_TRANSCRIPT,361,D:\ieee-final-dep\datasets\raw\daic_woz\361_P\361_TRANSCRIPT.csv,
362_text_362_TRANSCRIPT,362,D:\ieee-final-dep\datasets\raw\daic_woz\362_P\362_TRANSCRIPT.csv,
363_text_363_TRANSCRIPT,363,D:\ieee-final-dep\datasets\raw\daic_woz\363_P\363_TRANSCRIPT.csv,
364_text_364_TRANSCRIPT,364,D:\ieee-final-dep\datasets\raw\daic_woz\364_P\364_TRANSCRIPT.csv,
365_text_365_TRANSCRIPT,365,D:\ieee-final-dep\datasets\raw\daic_woz\365_P\365_TRANSCRIPT.csv,
366_text_366_TRANSCRIPT,366,D:\ieee-final-dep\datasets\raw\daic_woz\366_P\366_TRANSCRIPT.csv,
367_text_367_TRANSCRIPT,367,D:\ieee-final-dep\datasets\raw\daic_woz\367_P\367_TRANSCRIPT.csv,
368_text_368_TRANSCRIPT,368,D:\ieee-final-dep\datasets\raw\daic_woz\368_P\368_TRANSCRIPT.csv,
369_text_369_TRANSCRIPT,369,D:\ieee-final-dep\datasets\raw\daic_woz\369_P\369_TRANSCRIPT.csv,
370_text_370_TRANSCRIPT,370,D:\ieee-final-dep\datasets\raw\daic_woz\370_P\370_TRANSCRIPT.csv,
371_text_371_TRANSCRIPT,371,D:\ieee-final-dep\datasets\raw\daic_woz\371_P\371_TRANSCRIPT.csv,
372_text_372_TRANSCRIPT,372,D:\ieee-final-dep\datasets\raw\daic_woz\372_P\372_TRANSCRIPT.csv,
373_text_373_TRANSCRIPT,373,D:\ieee-final-dep\datasets\raw\daic_woz\373_P\373_TRANSCRIPT.csv,
374_text_374_TRANSCRIPT,374,D:\ieee-final-dep\datasets\raw\daic_woz\374_P\374_TRANSCRIPT.csv,
375_text_375_TRANSCRIPT,375,D:\ieee-final-dep\datasets\raw\daic_woz\375_P\375_TRANSCRIPT.csv,
376_text_376_TRANSCRIPT,376,D:\ieee-final-dep\datasets\raw\daic_woz\376_P\376_TRANSCRIPT.csv,
377_text_377_TRANSCRIPT,377,D:\ieee-final-dep\datasets\raw\daic_woz\377_P\377_TRANSCRIPT.csv,
378_text_378_TRANSCRIPT,378,D:\ieee-final-dep\datasets\raw\daic_woz\378_P\378_TRANSCRIPT.csv,
379_text_379_TRANSCRIPT,379,D:\ieee-final-dep\datasets\raw\daic_woz\379_P\379_TRANSCRIPT.csv,
380_text_380_TRANSCRIPT,380,D:\ieee-final-dep\datasets\raw\daic_woz\380_P\380_TRANSCRIPT.csv,
381_text_381_TRANSCRIPT,381,D:\ieee-final-dep\datasets\raw\daic_woz\381_P\381_TRANSCRIPT.csv,
382_text_382_TRANSCRIPT,382,D:\ieee-final-dep\datasets\raw\daic_woz\382_P\382_TRANSCRIPT.csv,
383_text_383_TRANSCRIPT,383,D:\ieee-final-dep\datasets\raw\daic_woz\383_P\383_TRANSCRIPT.csv,
384_text_384_TRANSCRIPT,384,D:\ieee-final-dep\datasets\raw\daic_woz\384_P\384_TRANSCRIPT.csv,
385_text_385_TRANSCRIPT,385,D:\ieee-final-dep\datasets\raw\daic_woz\385_P\385_TRANSCRIPT.csv,
386_text_386_TRANSCRIPT,386,D:\ieee-final-dep\datasets\raw\daic_woz\386_P\386_TRANSCRIPT.csv,
387_text_387_TRANSCRIPT,387,D:\ieee-final-dep\datasets\raw\daic_woz\387_P\387_TRANSCRIPT.csv,
388_text_388_TRANSCRIPT,388,D:\ieee-final-dep\datasets\raw\daic_woz\388_P\388_TRANSCRIPT.csv,
389_text_389_TRANSCRIPT,389,D:\ieee-final-dep\datasets\raw\daic_woz\389_P\389_TRANSCRIPT.csv,
390_text_390_TRANSCRIPT,390,D:\ieee-final-dep\datasets\raw\daic_woz\390_P\390_TRANSCRIPT.csv,
391_text_391_TRANSCRIPT,391,D:\ieee-final-dep\datasets\raw\daic_woz\391_P\391_TRANSCRIPT.csv,
392_text_392_TRANSCRIPT,392,D:\ieee-final-dep\datasets\raw\daic_woz\392_P\392_TRANSCRIPT.csv,
393_text_393_TRANSCRIPT,393,D:\ieee-final-dep\datasets\raw\daic_woz\393_P\393_TRANSCRIPT.csv,
395_text_395_TRANSCRIPT,395,D:\ieee-final-dep\datasets\raw\daic_woz\395_P\395_TRANSCRIPT.csv,
397_text_397_TRANSCRIPT,397,D:\ieee-final-dep\datasets\raw\daic_woz\397_P\397_TRANSCRIPT.csv,
399_text_399_TRANSCRIPT,399,D:\ieee-final-dep\datasets\raw\daic_woz\399_P\399_TRANSCRIPT.csv,
400_text_400_TRANSCRIPT,400,D:\ieee-final-dep\datasets\raw\daic_woz\400_P\400_TRANSCRIPT.csv,
401_text_401_TRANSCRIPT,401,D:\ieee-final-dep\datasets\raw\daic_woz\401_P\401_TRANSCRIPT.csv,
402_text_402_TRANSCRIPT,402,D:\ieee-final-dep\datasets\raw\daic_woz\402_P\402_TRANSCRIPT.csv,
403_text_403_TRANSCRIPT,403,D:\ieee-final-dep\datasets\raw\daic_woz\403_P\403_TRANSCRIPT.csv,
404_text_404_TRANSCRIPT,404,D:\ieee-final-dep\datasets\raw\daic_woz\404_P\404_TRANSCRIPT.csv,
405_text_405_TRANSCRIPT,405,D:\ieee-final-dep\datasets\raw\daic_woz\405_P\405_TRANSCRIPT.csv,
406_text_406_TRANSCRIPT,406,D:\ieee-final-dep\datasets\raw\daic_woz\406_P\406_TRANSCRIPT.csv,
407_text_407_TRANSCRIPT,407,D:\ieee-final-dep\datasets\raw\daic_woz\407_P\407_TRANSCRIPT.csv,
408_text_408_TRANSCRIPT,408,D:\ieee-final-dep\datasets\raw\daic_woz\408_P\408_TRANSCRIPT.csv,
409_text_409_TRANSCRIPT,409,D:\ieee-final-dep\datasets\raw\daic_woz\409_P\409_TRANSCRIPT.csv,
410_text_410_TRANSCRIPT,410,D:\ieee-final-dep\datasets\raw\daic_woz\410_P\410_TRANSCRIPT.csv,
411_text_411_TRANSCRIPT,411,D:\ieee-final-dep\datasets\raw\daic_woz\411_P\411_TRANSCRIPT.csv,
